[Fri, 24 Jul 15 15:22:21 +0200][INFO] SELECT IF(COUNT(*) > 0, 1, 0) FROM `INFORMATION_SCHEMA`.`TABLES` WHERE `TABLE_NAME` = 'profiles' AND `TABLE_SCHEMA` = DATABASE()
[Fri, 24 Jul 15 15:22:21 +0200][INFO] DESCRIBE `profiles`
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `profiles`.`uid`, `profiles`.`pid`, `profiles`.`tstamp`, `profiles`.`crdate`, `profiles`.`cruser_id`, `profiles`.`deleted`, `profiles`.`hidden`, `profiles`.`title` FROM `profiles` WHERE `profiles`.`deleted` = 0 AND `profiles`.`hidden` = 0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
[Fri, 24 Jul 15 15:22:22 +0200][INFO] SELECT `resources`.`uid`, `resources`.`pid`, `resources`.`tstamp`, `resources`.`crdate`, `resources`.`cruser_id`, `resources`.`deleted`, `resources`.`hidden`, `resources`.`title` FROM `resources` WHERE `resources`.`uid` = :APR0 LIMIT :AP0
